objectid,date,title,meeting_type,document_type,location,format
03-16-20-city_council_meeting-minutes,03/16/20,City Council Meeting - 03/16/20,City Council Meeting,Minutes PDF,One Municipal Plaza - Courtroom,application/pdf
03-10-20-planning_board_meeting-agenda,03/10/20,Planning Board Meeting - 03/10/20,Planning Board Meeting,Agenda PDF,One Municipal Plaza - Courtroom,application/pdf
03-10-20-planning_board_meeting-minutes,03/10/20,Planning Board Meeting - 03/10/20,Planning Board Meeting,Minutes PDF,One Municipal Plaza - Courtroom,application/pdf
03-09-20-city_council_workshop-agenda,03/09/20,City Council Workshop - 03/09/20,City Council Workshop,Agenda PDF,One Municipal Plaza - Courtroom,application/pdf
03-02-20-city_council_meeting-agenda,03/02/20,City Council Meeting - 03/02/20,City Council Meeting,Agenda PDF,One Municipal Plaza - Courtroom,application/pdf
03-02-20-city_council_meeting-minutes,03/02/20,City Council Meeting - 03/02/20,City Council Meeting,Minutes PDF,One Municipal Plaza - Courtroom,application/pdf
02-24-20-city_council_workshop-agenda,02/24/20,City Council Workshop - 02/24/20,City Council Workshop,Agenda PDF,One Municipal Plaza - Courtroom,application/pdf
02-19-20-zoning_board_of_appeals_meeting-agenda,02/19/20,Zoning Board of Appeals Meeting - 02/19/20,Zoning Board of Appeals Meeting,Agenda PDF,One Municipal Plaza - Courtroom,application/pdf
02-19-20-zoning_board_of_appeals_meeting-minutes,02/19/20,Zoning Board of Appeals Meeting - 02/19/20,Zoning Board of Appeals Meeting,Minutes PDF,One Municipal Plaza - Courtroom,application/pdf
02-18-20-city_council_meeting-agenda,02/18/20,City Council Meeting - 02/18/20,City Council Meeting,Agenda PDF,One Municipal Plaza - Courtroom,application/pdf
02-18-20-city_council_meeting-minutes,02/18/20,City Council Meeting - 02/18/20,City Council Meeting,Minutes PDF,One Municipal Plaza - Courtroom,application/pdf
02-11-20-planning_board_meeting-agenda,02/11/20,Planning Board Meeting - 02/11/20,Planning Board Meeting,Agenda PDF,One Municipal Plaza - Courtroom,application/pdf
02-11-20-planning_board_meeting-minutes,02/11/20,Planning Board Meeting - 02/11/20,Planning Board Meeting,Minutes PDF,One Municipal Plaza - Courtroom,application/pdf
02-10-20-city_council_workshop-agenda,02/10/20,City Council Workshop - 02/10/20,City Council Workshop,Agenda PDF,One Municipal Plaza - Courtroom,application/pdf
02-03-20-city_council_meeting-agenda,02/03/20,City Council Meeting - 02/03/20,City Council Meeting,Agenda PDF,One Municipal Plaza - Courtroom,application/pdf
02-03-20-city_council_meeting-minutes,02/03/20,City Council Meeting - 02/03/20,City Council Meeting,Minutes PDF,One Municipal Plaza - Courtroom,application/pdf
01-27-20-city_council_workshop-agenda,01/27/20,City Council Workshop - 01/27/20,City Council Workshop,Agenda PDF,One Municipal Plaza - Courtroom,application/pdf
01-22-20-zoning_board_of_appeals_meeting-agenda,01/22/20,Zoning Board of Appeals Meeting - 01/22/20,Zoning Board of Appeals Meeting,Agenda PDF,One Municipal Plaza - Courtroom,application/pdf
01-22-20-zoning_board_of_appeals_meeting-minutes,01/22/20,Zoning Board of Appeals Meeting - 01/22/20,Zoning Board of Appeals Meeting,Minutes PDF,One Municipal Plaza - Courtroom,application/pdf
01-21-20-city_council_meeting-agenda,01/21/20,City Council Meeting - 01/21/20,City Council Meeting,Agenda PDF,One Municipal Plaza - Courtroom,application/pdf
01-21-20-city_council_meeting-minutes,01/21/20,City Council Meeting - 01/21/20,City Council Meeting,Minutes PDF,One Municipal Plaza - Courtroom,application/pdf
01-14-20-planning_board_meeting-agenda,01/14/20,Planning Board Meeting - 01/14/20,Planning Board Meeting,Agenda PDF,One Municipal Plaza - Courtroom,application/pdf
01-14-20-planning_board_meeting-minutes,01/14/20,Planning Board Meeting - 01/14/20,Planning Board Meeting,Minutes PDF,One Municipal Plaza - Courtroom,application/pdf
01-13-20-city_council_workshop-agenda,01/13/20,City Council Workshop - 01/13/20,City Council Workshop,Agenda PDF,One Municipal Plaza - Courtroom,application/pdf
01-06-20-city_council_meeting-agenda,01/06/20,City Council Meeting - 01/06/20,City Council Meeting,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
01-06-20-city_council_meeting-minutes,01/06/20,City Council Meeting - 01/06/20,City Council Meeting,Minutes PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
01-06-20-city_council_workshop-agenda,01/06/20,City Council Workshop - 01/06/20,City Council Workshop,Agenda PDF,1 Municipal Plaza - Courtroom,application/pdf
12-17-19-zoning_board_of_appeals_meeting-agenda,12/17/19,Zoning Board of Appeals Meeting - 12/17/19,Zoning Board of Appeals Meeting,Agenda PDF,Meeting postponed at request of applican...,application/pdf
12-16-19-city_council_meeting-agenda,12/16/19,City Council Meeting - 12/16/19,City Council Meeting,Agenda PDF,1 Municipal Plaza - Courtroom,application/pdf
12-16-19-city_council_meeting-minutes,12/16/19,City Council Meeting - 12/16/19,City Council Meeting,Minutes PDF,1 Municipal Plaza - Courtroom,application/pdf
12-10-19-planning_board_meeting-agenda,12/10/19,Planning Board Meeting - 12/10/19,Planning Board Meeting,Agenda PDF,One Municipal Plaza - Courtroom,application/pdf
